stage,experiment,task_id,model_name,lang,size,tune,param_mode,head_type,truncation,data_variant,loss_type,input_mode,f1_macro,f1_micro,f1_weighted,accuracy
encoder,t1_majorityS4_en+multi_majorityS4_majorityS4_majorityS4_majorityS4_majorityS4_majorityS4_majorityS4_majorityS4,t1,majorityS4-majorityS4,en+multi,majorityS4,majorityS4,majorityS4,majorityS4,majorityS4,majorityS4,majorityS4,majorityS4,0.6858872849003722,0.7402597402597403,0.740029139544878,0.7402597402597403
stage4,t1_deberta_en_base_unfreezing25_fixed_multiLayerHead_head-tail_WCE_augmentedData_enriched,t1,deberta-base,en,base,unfreezing25,fixed,multiLayerHead,head-tail,augmentedData,WCE,enriched,0.6510194380782616,0.6883116883116883,0.6992996702813357,0.6883116883116883
stage2,t1_deberta_en_base_unfreezing25_fixed_multiLayerHead_head-tail_WCE_originalData_atomic,t1,deberta-base,en,base,unfreezing25,fixed,multiLayerHead,head-tail,originalData,WCE,atomic,0.6387594377160384,0.7045454545454546,0.711809382232997,0.7045454545454546
stage2,t1_roberta_en_base_unfreezing75_fixed_avgPoolHead_head-tail_WCE_originalData_atomic,t1,roberta-base,en,base,unfreezing75,fixed,avgPoolHead,head-tail,originalData,WCE,atomic,0.637879153171733,0.698051948051948,0.7048956095246017,0.698051948051948
stage2,t1_deberta_en_base_unfreezing25_fixed_multiLayerHead_head_WCE_originalData_atomic,t1,deberta-base,en,base,unfreezing25,fixed,multiLayerHead,head,originalData,WCE,atomic,0.6373777853339703,0.7142857142857143,0.7212772040013193,0.7142857142857143
stage2,t1_deberta_en_base_unfreezing25_fixed_avgPoolHead_head_WCE_originalData_atomic,t1,deberta-base,en,base,unfreezing25,fixed,avgPoolHead,head,originalData,WCE,atomic,0.6364553772012965,0.698051948051948,0.7041968311083979,0.698051948051948
stage2,t1_deberta_en_base_unfreezing25_fixed_avgPoolHead_head-tail_WCE_originalData_atomic,t1,deberta-base,en,base,unfreezing25,fixed,avgPoolHead,head-tail,originalData,WCE,atomic,0.6309493692433802,0.698051948051948,0.7068275153951729,0.698051948051948
stage2,t1_deberta_en_base_unfreezing25_fixed_defaultHead_head-tail_WCE_originalData_atomic,t1,deberta-base,en,base,unfreezing25,fixed,defaultHead,head-tail,originalData,WCE,atomic,0.6309005855605351,0.7012987012987013,0.7061914009311698,0.7012987012987013
stage2,t1_roberta_en_large_unfreezing25_fixed_avgPoolHead_head_WCE_originalData_atomic,t1,roberta-large,en,large,unfreezing25,fixed,avgPoolHead,head,originalData,WCE,atomic,0.6303351112625608,0.6688311688311688,0.6781092006009198,0.6688311688311688
stage1,t1_deberta_en_base_unfreezing25_fixed_defaultHead_head_WCE_originalData_atomic,t1,deberta-base,en,base,unfreezing25,fixed,defaultHead,head,originalData,WCE,atomic,0.6279649140072424,0.6785714285714286,0.6896458352667381,0.6785714285714286
stage1,t1_bert_en_base_lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,bert-base,en,base,lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.6270641400144809,0.698051948051948,0.7040427440135327,0.698051948051948
stage1,t1_bert_en_base_unfreezing75_fixed_defaultHead_head_WCE_originalData_atomic,t1,bert-base,en,base,unfreezing75,fixed,defaultHead,head,originalData,WCE,atomic,0.6223784623784624,0.7045454545454546,0.6975944121398666,0.7045454545454546
stage2,t1_roberta_en_large_unfreezing25_fixed_defaultHead_head-tail_WCE_originalData_atomic,t1,roberta-large,en,large,unfreezing25,fixed,defaultHead,head-tail,originalData,WCE,atomic,0.621181354877007,0.698051948051948,0.6963677556210025,0.698051948051948
stage4,t1_roberta_en_base_unfreezing75_fixed_avgPoolHead_head-tail_WCE_augmentedData_atomic,t1,roberta-base,en,base,unfreezing75,fixed,avgPoolHead,head-tail,augmentedData,WCE,atomic,0.6162084765177549,0.6623376623376623,0.6699139777748024,0.6623376623376623
stage1,t1_deberta_en_base_unfreezing50_fixed_defaultHead_head_WCE_originalData_atomic,t1,deberta-base,en,base,unfreezing50,fixed,defaultHead,head,originalData,WCE,atomic,0.6156335872821288,0.7012987012987013,0.705955085650378,0.7012987012987013
stage2,t1_bert_en_base_lora16_fixed_defaultHead_head-tail_WCE_originalData_atomic,t1,bert-base,en,base,lora16,fixed,defaultHead,head-tail,originalData,WCE,atomic,0.6153702506643683,0.6655844155844156,0.6731736051063782,0.6655844155844156
stage1,t1_bert_en_base_lora8_fixed_defaultHead_head_WCE_originalData_atomic,t1,bert-base,en,base,lora8,fixed,defaultHead,head,originalData,WCE,atomic,0.6150520045256888,0.6688311688311688,0.6762100207076284,0.6688311688311688
stage4,t1_deberta_en_base_unfreezing25_fixed_multiLayerHead_head-tail_WCE_originalData_enriched,t1,deberta-base,en,base,unfreezing25,fixed,multiLayerHead,head-tail,originalData,WCE,enriched,0.6149145162683184,0.6883116883116883,0.6947866309750788,0.6883116883116883
stage2,t1_bert_en_base_lora16_fixed_multiLayerHead_head-tail_WCE_originalData_atomic,t1,bert-base,en,base,lora16,fixed,multiLayerHead,head-tail,originalData,WCE,atomic,0.6142165190245074,0.6623376623376623,0.6717618452666935,0.6623376623376623
stage2,t1_xlmr_multi_large_unfreezing25_fixed_defaultHead_head-tail_WCE_originalData_atomic,t1,xlmr-large,multi,large,unfreezing25,fixed,defaultHead,head-tail,originalData,WCE,atomic,0.6137476499896349,0.698051948051948,0.6916675462814298,0.698051948051948
stage2,t1_roberta_en_large_unfreezing25_fixed_multiLayerHead_head_WCE_originalData_atomic,t1,roberta-large,en,large,unfreezing25,fixed,multiLayerHead,head,originalData,WCE,atomic,0.6131666956639409,0.6785714285714286,0.682935047612018,0.6785714285714286
stage3,t1_deberta_en_base_unfreezing25_fixed_multiLayerHead_head-tail_FOCAL-Dropout10_originalData_atomic,t1,deberta-base,en,base,unfreezing25,fixed,multiLayerHead,head-tail,originalData,FOCAL-Dropout10,atomic,0.6129369561301136,0.6558441558441559,0.6683037883272076,0.6558441558441559
